uraian pekerjaan,section,pekerjaan,satuan,volume,harga satuan,nilai,bobot
Pas. Homogeneus Tile 30x60 cm dinding kamar mandi (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,61.452,219454.0425,13485889.82,0.2824
Pas. Homogeneus Tile 60x60 cm Meja wastafel (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,1.58,186423.6,294549.288,0.0062
Pas. Homogeneus Tile 30x60 cm dinding wastafel (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,17.46,219454.0425,3831667.582,0.0802
 Pek. Plafond Gybsum Board 9 mm Rangka Hollow 4/4 dan 2/4 (Pekerjaan Plafond Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,439.155,89867.91,39465942.02,0.8264
Pas. Lis Profil 10 cm (Pekerjaan Plafond Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m1,253.34,29432.7,7456480.218,0.1561
Kusen + Pintu type P2  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,4,4970000,19880000,0.4163
Kusen + Pintu type P3  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,6,3550000,21300000,0.4460
Kusen + Pintu type P4  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,2,1952500,3905000,0.0818
Kusen + Jendela J1 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,12,2390131.313,28681575.76,0.6006
Kusen + Jendela J2 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,2,2743483.687,5486967.374,0.1149
Kusen + Glassblok J3 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,2,490543.1401,981086.2802,0.0205
Kusen BV1 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,8,260071.998,2080575.984,0.0436
Kusen BV2 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,Unit,2,468824.5977,937649.1954,0.0196
"Pas. Kloset Jongkok (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,6,535264.4,3211586.4,0.0672
"Pas.  Wastafel  (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,4,976685.6,3906742.4,0.0818
"Pas. Floordrain 3"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,6,60555,363330,0.0076
"Pas. Kran air 1/2"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,12,71000,852000,0.0178
"Pas. Kran Wastafel  (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,4,106500,426000,0.0089
"Inst. Air Bersih (PVC.3/4 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,m1,45,19938.63438,897238.5469,0.0188
"Inst. Air Bersih (PVC.1 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,m1,25,22520.81563,563020.3906,0.0118
"Inst. Air Buangan (PVC. 3"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,m1,40,52870.74375,2114829.75,0.0443
"Inst. Pipa Buangan air padat (PVC. 4"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,m1,35,109678.7313,3838755.594,0.0804
"Timba (kamar mandi) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,6,130000,780000,0.0163
"Kaca cermin uk. 80 x 160 cm (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,2,200000,400000,0.0084
Panel Lantai 3 ( PP - 3A ) (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,unit',1,4000000,4000000,0.0838
Kabel dari  Panel utama  ke panel ( PP - 3A ) lantai 3  (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,mtr,15,45000,675000,0.0141
Lampu I RM 300 LED   2 x 18 Watt (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,24,382744.15,9185859.6,0.1923
Lampu Down Light RD 100 LED 10 Watt (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,28,210244.15,5886836.2,0.1233
Saklar Tunggal (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,6,60602.85,363617.1,0.0076
Saklar Ganda (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,9,64507.85,580570.65,0.0122
Stop Kontak (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,22,61383.85,1350444.7,0.0283
Stop Kontak AC (Pekerjaan Elektrikal Lt. III),V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,bh,8,61383.85,491070.8,0.0103
"Instalasi Kabel NYM 3 x 2,5 mm²  Lampu, dalam pipa  (Pekerjaan Elektrikal Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,titik,52,164355.95,8546509.4,0.1790
"Instalasi Kabel NYM 3 x 2,5 mm²  Stop Kontak, dalam pipa (Pekerjaan Elektrikal Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,titik,22,194619.7,4281633.4,0.0897
"Instalasi Kabel NYM 3 x 4 mm²  Stop Kontak AC, dalam pipa (Pekerjaan Elektrikal Lt. III)",V. PEKERJAAN LANTAI III,C. PEKERJAAN ELEKTRIKAL LANTAI III,titik,8,261785.7,2094285.6,0.0439
Pas. Atap Bajaringan  tebal 1 mm jarak kuda kuda 1 mtr (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m2,367.1274,142000,52132090.8,1.0916
Pasang Atap Bitumen Setara Onduvilla (106 x 40) cm  (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m2,432.3285,172426.815,74545026.29,1.5609
Pas. Nok tengah Bitumen Setara Onduvilla (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m',37,127397.6,4713711.2,0.0987
Pas. Nok Samping Bitumen Setara Onduvilla (kanan & kiri tandon) (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m',5.74,96913.0602,556280.9655,0.0116
Pas. woodplank 20 cm (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m',79.69,61545.33,4904547.348,0.1027
Water Proofing coating (Pekerjaan Atap),VI. PEKERJAAN LANTAI DAK ATAP,A. PEKERJAAN ATAP Elv. 12.00,m2,138.79,70588.628,9796995.68,0.2051
Bekisting (Kolom K1 40x40 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m2,74.56,186029.8,13870381.89,0.2904
Pembesian (besi ulir) (Kolom K1 40x40 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,kg,883.536,11629.2,10274816.85,0.2151
Pembesian (besi polos) (Kolom K1 40x40 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,kg,175.682,11196.075,1966948.848,0.0412
Cor Beton K.250 (Kolom K1 40x40 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m3,7.456,973704.9972,7259944.459,0.1520
Bekisting (Kolom K2 15x25 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m2,1.75,186029.8,325552.15,0.0068
Pembesian (besi polos) (Kolom K2 15x25 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,kg,24.605,11196.075,275479.4254,0.0058
Cor Beton K.250 (Kolom K2 15x25 cm Elv.12.00),VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m3,0.13125,973704.9972,127798.7809,0.0027
"Bekisting (Balok BR 15x20 cm Elv.13.00, Elv.14,65, Elv.15.50 & Ring gewel)",VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m2,45.784,189371.05,8670164.153,0.1815
"Pembesian (besi polos) (Balok BR 15x20 cm Elv.13.00, Elv.14,65, Elv.15.50 & Ring gewel)",VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,kg,589.469,11196.075,6599739.134,0.1382
"Cor Beton K.250 (Balok BR 15x20 cm Elv.13.00, Elv.14,65, Elv.15.50 & Ring gewel)",VI. PEKERJAAN LANTAI DAK ATAP,B. PEKERJAAN STRUKTUR Elv. 12.00 s/d 15.50,m3,3.4338,861922.1417,2959668.25,0.0620
"Pasangan Bata Ringan, uk. 60 x 20 x 10 cm (Pekerjaan Pasangan Dinding Elv. 12.00)",VI. PEKERJAAN LANTAI DAK ATAP,C. PEKERJAAN ARSITEKTUR Elv. 12.00,m2,260.9072,128190.4946,33445823.01,0.7003
Plesteran Dinding Hebel/Celcon dng Mortar Instan t = 10 mm  (Pekerjaan Pasangan Dinding Elv. 12.00),VI. PEKERJAAN LANTAI DAK ATAP,C. PEKERJAAN ARSITEKTUR Elv. 12.00,m2,521.8144,59438.236,31015727.46,0.6495
Acian dinding (Pekerjaan Pasangan Dinding Elv. 12.00),VI. PEKERJAAN LANTAI DAK ATAP,C. PEKERJAAN ARSITEKTUR Elv. 12.00,m2,521.8144,35879.8,18722596.31,0.3920
Pas.kolom praktis (Pekerjaan Pasangan Dinding Elv. 12.00),VI. PEKERJAAN LANTAI DAK ATAP,C. PEKERJAAN ARSITEKTUR Elv. 12.00,m1,9.3,69945.645,650494.4985,0.0136
Pengecatan Dinding luar (Pekerjaan Pengecatan Elv. 12.00),VI. PEKERJAAN LANTAI DAK ATAP,C. PEKERJAAN ARSITEKTUR Elv. 12.00,m2,273.133625,39679.75,10837873.96,0.2269
"Inst.Pipa saluran drainase atap (PVC AW. 3"")+acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent)",VII.,PEKERJAAN MEKANIKAL,m1,416,52870.74375,21994229.4,0.4605
Pekerjaan Fasad Luar Alumunium Composi Panel (ACP) upah+bahan,VIII.,PEKERJAAN FASAD,m2,994.7231,657647.0199,654176682.3,13.6981
Pekerjaan Ornamen Cutting Laser  (ACP) upah+bahan,VIII.,PEKERJAAN FASAD,m2,262.547,789176.4238,207195902.5,4.3386
Pas. Logo kemenag 180 x 185 cm,IX.,PEKERJAAN LAIN-LAIN,bh,1,2000000,2000000,0.0419
Pas. Logo MAN 4 Jombang 180 x 185 cm,IX.,PEKERJAAN LAIN-LAIN,bh,1,2000000,2000000,0.0419
Pas.signage Huruf,IX.,PEKERJAAN LAIN-LAIN,ls,1,7000000,7000000,0.1466
Plat bordes tebal 2 mm rangka besi siku (akses ke tandon),IX.,PEKERJAAN LAIN-LAIN,bh,2,400000,800000,0.0168
Pas. Sunscreen besi hollow 4/6 cm (terpasang jadi),IX.,PEKERJAAN LAIN-LAIN,m2,39,150000,5850000,0.1225
Pembersihan akhir,IX.,PEKERJAAN LAIN-LAIN,ls,1,1000000,1000000,0.0209
Pembuatan Kartu Identitas Pekerja (Penyiapan RK3K :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),set,30,5000,150000,0.0031
"Pengarahan K3 (Sosialisasi, Promosi, dan Pelatihan :)",X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),ls,1,350000,350000,0.0073
"Spanduk (banner) (Sosialisasi, Promosi, dan Pelatihan :)",X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),lbr,1,150000,150000,0.0031
"Papan Informasi K3 (Sosialisasi, Promosi, dan Pelatihan :)",X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,1,120000,120000,0.0025
Terpal pelindung bangunan lama (Alat pelindung kerja :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),m',40,11000,440000,0.0092
Topi pelindung ( safety helmet ) (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,30,30000,900000,0.0188
"Pelindung mata ( Goggles,spectacles ) (Pelindung Diri :)",X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,10,40000,400000,0.0084
Tameng muka (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,10,50000,500000,0.0105
Pelindung telinga (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,10,50000,500000,0.0105
Pelindung pernafasan dan mulut (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,30,6000,180000,0.0038
Sarung tangan (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),psg,30,4500,135000,0.0028
Sepatu keselamatan (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),psg,30,90000,2700000,0.0565
Penunjang seluruh tubuh (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,30,100000,3000000,0.0628
Rompi keselamatan (Pelindung Diri :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,30,17500,525000,0.0110
BPJS Ketenagakerjaan dan Kesehatan Kerja (Asuransi dan Perijinan :),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),ls,1,4250000,4250000,0.0890
Personil K3 Kontruksi,X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),org,1,3000000,3000000,0.0628
"Peralatan K3K ( Kotak P3K,obat luka,perban ) (Fasilitas, Sarana, dan Prasarana Kesehatan)",X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),ls,1,200000,200000,0.0042
Rambu petunjuk (Rambu - Rambu),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,1,65000,65000,0.0014
Rambu larangan (Rambu - Rambu),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,2,65000,130000,0.0027
Rambu peringatan (Rambu - Rambu),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,2,65000,130000,0.0027
Rambu kewajiban (Rambu - Rambu),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,1,65000,65000,0.0014
Rambu informasi (Rambu - Rambu),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,1,65000,65000,0.0014
MAT   Pemadam api ringan ( apar ) (Lain - lain terkait pengendali resiko K3),X.,BIAYA KESEHATAN DAN KESELAMATAN KERJA (K3),bh,1,750000,750000,0.0157
"Sosialisasi, Promosi, dan Pelatihan",XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,ls,1,250000,250000,0.0052
hand sanitizer (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,ls,1,100000,100000,0.0021
Perangkat cuci tangan (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,set,2,650000,1300000,0.0272
Thermogun (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,bh,2,1250000,2500000,0.0523
Handscoon (sarung tangan) (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,psg,10,3500,35000,0.0007
Pelindung pernafasan dan mulut (masker) (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,bh,10,6000,60000,0.0013
face shield (Alat Pelindung Diri (APD)),XI.,BIAYA PROTOKOL KESEHATAN PENCEGAHAN COVID-19,bh,10,20000,200000,0.0042
